	N120	N123	N124	N126	N130	N131	N138	N140	N144	N146	N148	N149	N150	N151	N152	N153	N155	N158	N160	N163	N164	N165	N166	N169	N171	N172	N176	N178	N179	N182	N185	N186	N187	N188	N189	N192	N193	N195	N197	N198	N199	N200	N202	N203	N205	N210	N212	N214	N215	N216	N217	N221	N222	N224	N226	N228	N229	N232	N233	N234	N235	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N259	N261	N265	N267	N268	N269	N270	N153A
CTSD	6.316683173	5.734318426	5.042467227	5.802428688	5.857580672	5.807016476	6.130043348	5.430900593	5.864424707	6.026393971	5.677861435	6.646848377	7.521633173	6.364399649	5.617741684	6.780155735	6.571611268	6.464353173	6.306325254	5.743239203	5.938700323	6.022964707	6.828696346	10.60205619	6.505193173	6.078564571	6.706728852	7.380951188	6.370553173	6.662831268	5.859928688	6.166782824	5.802856266	6.496711733	6.394866999	5.893541268	6.01854	6.27202	5.685444707	6.193518767	6.58552907	7.197993689	5.959763348	6.974797338	6.124259879	5.262188767	6.319543173	5.995584185	6.340238095	6.470283349	6.400189649	6.778569879	6.922966472	7.878951268	6.762495195	6.382998095	6.255576758	6.093437499	6.433681631	7.015565735	5.86492	6.262936187	6.233618095	5.95936	5.711356476	5.650246176	5.15437	6.570809879	6.421146472	6.02803907	6.667326266	6.146768095	5.53166	6.041924234	6.72791314	7.298173971	4.686612824	6.16087	6.45148907	5.75938
PGLYRP1	8.649723173	8.987278426	6.742207227	8.259788688	10.91087067	8.396566476	9.277203348	7.812060593	8.782494707	8.866403971	9.243051435	8.191518377	10.62977317	8.934089649	8.946351684	9.043465735	8.457911268	10.95560317	8.888825254	10.3575792	9.068380323	8.455804707	8.476456346	11.10258619	7.270663173	8.549944571	9.132778852	8.191521188	8.379653173	9.843361268	7.806388688	8.420252824	8.241516266	10.07728173	11.387097	8.785501268	8.98512	7.6672	8.733674707	10.09854877	8.76878907	8.172543689	6.521533348	9.097727338	8.005619879	8.146988767	8.543163173	10.46602419	8.604318095	10.10817335	10.85790965	9.046409879	9.152946472	7.482351268	7.930375195	8.146538095	8.674656758	8.422157499	8.929211631	9.283345735	8.10344	9.770436187	8.800858095	7.17645	9.038636476	9.035766176	7.53732	9.884609879	7.694296472	6.80241907	9.184996266	7.877538095	9.93175	8.937834234	9.04108314	9.088563971	7.940832824	7.50388	7.27773907	7.39032
CPA1	1.448623173	0.684248426	0.441797227	0.661288688	1.845170672	2.546976476	1.508563348	0.513600593	1.238714707	1.201443971	1.406951435	1.497828377	2.677513173	1.464489649	1.456151684	2.069915735	1.435161268	2.398043173	1.092045254	0.626169203	1.019840323	0.664874707	2.120176346	5.20622619	1.193943173	1.515394571	2.523678852	2.391551188	0.648973173	1.583461268	0.318488688	0.997192824	1.058256266	2.474791733	1.365226999	1.271571268	1.31935	2.16927	0.667334707	0.593738767	1.24020907	2.127913689	0.698703348	2.551307338	1.212589879	0.454978767	1.716193173	1.047774185	1.604608095	1.301933349	1.502239649	2.437129879	1.886686472	2.665351268	1.765075195	0.914628095	1.132916758	1.659707499	1.255801631	1.736955735	0.7357	1.061116187	1.238078095	0.20538	1.154446476	0.856176176	0.5691	2.137849879	1.974966472	0.97742907	1.471406266	1.364938095	1.11927	1.624174234	1.22645314	2.057683971	1.207292824	0.61212	1.56830907	0.82629
JAM-A	4.408513173	5.323698426	3.034837227	5.390288688	6.446090672	4.196296476	4.889883348	4.153650593	5.427264707	5.850253971	6.178691435	4.205178377	6.083033173	5.361279649	4.500801684	6.433625735	2.742341268	5.675623173	4.121235254	6.723599203	3.358020323	4.445244707	4.309826346	8.45838619	5.110793173	4.774814571	4.817478852	6.243771188	5.407913173	5.452291268	5.381428688	5.410072824	3.952936266	5.284061733	4.598036999	4.499031268	5.47054	5.408	2.912224707	3.524818767	5.36694907	5.319703689	3.625173348	7.114357338	3.637739879	2.723638767	5.044613173	5.665134185	5.444968095	5.190163349	6.245299649	4.760539879	4.955986472	6.509841268	4.210795195	5.265658095	5.586766758	5.506267499	6.288561631	6.280905735	4.92279	5.687586187	5.650808095	4.01146	3.083336476	4.286936176	2.61818	5.252429879	4.316346472	3.43073907	5.426896266	5.050138095	3.36894	4.595114234	4.88121314	4.464233971	2.646642824	4.40896	4.57317907	4.963
Gal-4	2.955293173	0.457298426	0.621097227	2.565458688	1.249740672	1.446636476	2.687923348	0.352220593	2.431854707	1.481233971	2.415921435	3.308518377	3.957883173	3.310709649	0.717751684	3.019795735	2.346691268	2.783073173	1.715065254	1.538199203	0.668030323	0.535794707	3.990416346	5.27763619	1.572833173	1.803264571	3.149958852	3.004071188	1.679353173	2.790861268	0.841768688	2.304302824	1.937446266	3.762441733	2.147186999	1.411271268	1.35344	2.80862	0.809614707	1.463708767	2.56093907	3.768543689	1.260403348	4.062627338	1.479559879	0.797238767	3.576843173	3.161464185	3.107788095	2.587393349	3.830219649	4.136149879	3.790636472	3.441861268	3.029605195	1.830698095	1.237726758	3.626747499	2.720501631	2.920555735	3.33094	0.728776187	3.105098095	1.23869	0.043446476	0.558546176	0.50296	1.818319879	2.851646472	0.90850907	2.363216266	1.439898095	0.91903	1.775844234	2.12324314	4.181273971	0.679542824	1.21837	3.44416907	1.55221
SHPS-1	2.507213173	3.168078426	0.843517227	3.064998688	3.462960672	4.501206476	2.779203348	4.922460593	3.823774707	2.123053971	6.663541435	3.680358377	5.103673173	3.644849649	4.618481684	3.686415735	1.792901268	7.166143173	3.564235254	4.450809203	5.497910323	2.613364707	1.790296346	6.81956619	3.804193173	2.312624571	3.510478852	3.657491188	1.550413173	2.331221268	2.520828688	4.055942824	2.168616266	5.232061733	3.349566999	5.004641268	1.51378	3.81949	3.949724707	1.874838767	4.12396907	4.379473689	2.307253348	4.914817338	1.828239879	1.484208767	4.708243173	5.112834185	4.618788095	3.955733349	4.435959649	4.533069879	3.333276472	5.101411268	2.139445195	2.830728095	3.467206758	4.867147499	3.499241631	4.634125735	2.89444	3.631696187	4.509418095	1.77893	3.572456476	3.639006176	2.30361	3.011129879	1.944996472	2.63238907	2.797636266	3.591118095	1.53599	4.800224234	2.31309314	3.802293971	3.280452824	2.92678	3.27422907	2.20324
CCL15	6.387913173	5.666368426	3.404717227	5.802548688	7.491680672	6.721626476	6.411313348	4.837870593	6.895134707	5.771523971	6.776851435	6.099748377	7.776173173	6.523189649	6.666111684	5.670845735	6.655011268	6.551853173	6.385635254	5.820399203	6.034860323	5.116984707	6.310246346	7.82332619	4.639233173	6.294574571	5.762038852	5.459161188	4.497683173	5.400811268	3.553818688	5.251862824	5.173956266	6.612461733	7.382876999	6.221091268	6.10225	6.33782	5.874064707	5.880868767	5.59479907	6.121863689	4.587393348	6.113167338	4.953919879	4.842468767	7.087613173	5.182464185	7.246268095	6.336603349	6.944899649	6.792099879	7.818106472	6.933201268	6.015905195	4.212838095	6.695536758	7.309107499	5.723921631	6.262255735	5.77962	5.836806187	6.096048095	2.87171	5.864696476	6.704936176	4.85625	4.878229879	4.548556472	3.48252907	5.732776266	6.298278095	7.59863	6.331974234	5.00521314	6.738423971	5.053442824	5.29066	5.67349907	4.89259
CASP-3	7.017183173	7.930178426	4.236667227	7.519378688	8.485120672	9.484916476	8.589493348	8.473030593	8.821574707	7.029153971	9.850441435	8.952038377	9.814883173	8.125989649	9.492061684	8.878375735	6.714311268	10.36440317	8.418065254	8.659029203	8.503700323	8.695634707	7.712726346	11.95039619	8.418613173	6.051844571	8.730318852	8.494941188	6.788473173	7.581341268	7.346588688	9.668892824	6.992956266	9.687871733	8.346746999	9.375451268	7.44837	8.40814	8.227314707	6.896138767	8.45274907	9.581613689	6.898863348	9.390157338	6.879459879	6.432358767	9.036543173	10.12055419	9.416128095	8.968313349	9.623849649	9.845019879	8.961076472	9.015291268	8.228865195	7.926208095	8.865566758	10.3952375	8.242221631	9.237465735	8.01923	7.846896187	9.036128095	6.62199	8.183566476	7.871746176	7.16333	8.237789879	6.737066472	6.87268907	7.967326266	8.812018095	5.88413	9.621584234	7.96374314	9.197903971	7.575662824	7.95689	8.85446907	6.65611
uPA	8.985703173	9.561208426	7.557547227	8.441528688	10.84424067	10.22314648	10.10921335	10.29721059	10.46033471	8.676843971	11.44535144	9.983478377	11.55049317	9.454629649	10.57315168	11.21920574	9.796961268	11.76021317	9.574205254	10.9076192	10.26028032	10.36622471	9.570286346	12.54208619	10.17698317	9.346684571	10.73905885	10.36034119	7.811373173	10.04171127	8.714148688	10.67338282	7.847886266	11.47108173	10.405047	8.777481268	8.06141	10.26619	9.501434707	9.424378767	9.97144907	11.05450369	8.464933348	9.628117338	9.150509879	8.546498767	10.16743317	10.80506419	10.44374809	11.09142335	10.79671965	10.74620988	10.10342647	10.76619127	10.82783519	9.340188095	9.877466758	10.8095775	10.33659163	10.97385574	9.97956	10.81962619	10.83914809	8.42815	10.89240648	10.36578618	8.6103	9.629809879	9.018056472	9.07316907	10.82920627	10.86178809	9.60881	10.11911423	10.73326314	10.69668397	9.432402824	9.73389	10.99549907	8.67296
CPB1	1.699663173	1.280328426	0.722397227	0.638748688	3.357130672	2.934306476	2.252083348	1.342270593	2.079214707	1.442283971	2.296941435	1.917798377	2.894503173	2.077599649	2.394071684	2.424195735	1.291411268	3.109093173	1.465195254	1.046739203	1.234960323	0.894104707	2.558326346	5.35655619	1.770323173	1.879154571	2.795478852	2.956141188	0.961153173	1.714721268	0.538338688	1.139782824	1.920126266	2.579301733	1.603276999	1.356501268	1.60992	2.94727	1.309714707	0.910018767	1.42730907	2.271023689	1.076043348	2.768857338	1.730689879	0.0	1.644883173	1.379284185	1.985588095	1.542353349	1.849739649	2.823059879	2.409126472	2.914701268	1.983895195	0.768008095	1.797566758	2.037667499	1.505671631	2.121635735	0.93836	1.559276187	1.760188095	0.48313	1.679976476	1.239736176	0.75785	2.506609879	2.437116472	1.55401907	1.536546266	1.894468095	1.57849	2.122754234	1.70921314	1.917783971	1.529192824	0.55231	2.14365907	1.06195
CHI3L1	6.813643173	8.687068426	5.327447227	5.064888688	8.755180672	7.757426476	8.907483348	8.361640593	8.155954707	5.378363971	8.667841435	8.464008377	9.269593173	7.453029649	8.523271684	9.700325735	7.612511268	8.965683173	7.514955254	8.501519203	8.337490323	7.634674707	4.846276346	11.01559619	8.722843173	6.237544571	8.972908852	6.407611188	5.420683173	5.886201268	7.182948688	6.593992824	4.812326266	8.900021733	8.889676999	7.314231268	4.81719	8.73742	6.014244707	6.244228767	6.39586907	7.876843689	4.580203348	7.659727338	4.872049879	4.421838767	7.780563173	8.895904185	8.657398095	7.696573349	8.551549649	9.408399879	6.650096472	8.946101268	6.557105195	6.086118095	8.248946758	8.951097499	7.642111631	9.830905735	7.41822	7.511266187	9.257498095	4.47878	8.088326476	8.818076176	7.42809	8.030989879	5.040696472	8.83103907	7.528966266	8.886608095	7.87582	7.683534234	6.25898314	6.495443971	7.588172824	7.51196	8.75303907	4.63008
ST2	0.644653173	0.573168426	0.0	0.263338688	0.819870672	0.612976476	0.551753348	1.128940593	0.388404707	0.850983971	0.427071435	0.0	2.430773173	0.0	0.069881684	1.923545735	0.0	2.781063173	1.394895254	0.570099203	0.402630323	1.869314707	3.055436346	4.99461619	0.0	0.823444571	1.099758852	1.727931188	0.867913173	1.061631268	0.415258688	0.834032824	0.693766266	1.564071733	0.731216999	-0.118248732	1.03398	0.41109	0.455744707	0.527108767	1.10218907	1.616863689	0.376473348	1.246917338	0.0	0.356298767	2.508603173	0.431664185	0.971398095	0.984033349	0.627899649	1.376739879	4.986826472	1.883421268	0.0	0.0	1.752386758	0.995307499	0.0	1.274165735	1.17771	1.084096187	0.0	0.0	-0.085243524	1.891646176	0.0	1.525229879	1.223486472	0.0	0.730026266	1.008848095	0.25758	0.589784234	0.90034314	0.0	0.0	0.11054	1.29645907	0.0
t-PA	12.38890317	10.07822843	6.961217227	10.43683869	9.115250672	9.132586476	10.34877335	9.776490593	11.23325471	9.591243971	12.21482144	10.08325838	12.49000317	9.374259649	10.75540168	10.84122574	10.23803127	11.48786317	8.451625254	10.1495192	9.893900323	8.711454707	9.854186346	13.91438619	8.815543173	10.04322457	10.32004885	12.69734119	7.948513173	9.752951268	9.611608688	10.95304282	7.193066266	11.34655173	9.258916999	8.952441268	8.92357	11.62901	8.747494707	8.499198767	11.37184907	11.02620369	10.07691335	11.09619734	8.662849879	8.978798767	11.15839317	10.81889419	10.10789809	10.44776335	10.19189965	9.830849879	10.52027647	13.09830127	11.53019519	9.273748095	10.03731676	11.0060175	11.67268163	12.45579574	9.39099	8.301856187	9.979638095	8.06337	10.91451648	9.558366176	10.2325	10.65530988	8.992656472	8.19491907	10.76328627	9.799428095	9.42089	9.909194234	10.76500314	10.25927397	10.26658282	8.94817	9.79541907	11.03321
SCGB3A2	0.841003173	0.310228426	0.172717227	0.568208688	0.0	0.643986476	1.079913348	0.081740593	0.561764707	1.880133971	0.811011435	1.272918377	2.050853173	0.642109649	-0.220988316	1.014885735	3.179471268	1.005453173	0.908995254	-0.032830797	0.134570323	0.116524707	3.480606346	5.04992619	1.358933173	2.191404571	0.921928852	2.186481188	0.0	1.041131268	0.024548688	0.569812824	1.563596266	2.106051733	0.842896999	0.043101268	0.71153	0.61707	0.0	0.575078767	0.79488907	2.798473689	0.0	2.435837338	1.210759879	0.651718767	0.903213173	0.869444185	2.008758095	1.190623349	0.775129649	1.046489879	3.844196472	3.211341268	2.349645195	0.442468095	0.408836758	1.251607499	0.627411631	1.234735735	0.38567	0.0	0.539138095	0.06021	0.0	-0.043633824	0.02779	1.103649879	1.878956472	0.55439907	1.541946266	0.485988095	0.95009	0.145404234	1.42875314	1.505233971	0.0	0.03358	0.81519907	0.69541
EGFR	1.476023173	0.135878426	0.529867227	1.091458688	0.095530672	1.503136476	1.374603348	-0.183649407	0.883104707	1.505393971	1.172911435	1.815558377	2.505433173	2.040979649	0.134981684	1.348085735	0.0	1.200473173	1.684505254	0.0	0.0	0.597294707	0.0	5.22516619	1.459553173	0.455804571	1.539438852	1.701971188	0.712753173	1.179021268	1.266368688	1.117692824	1.354656266	1.522601733	0.0	1.400931268	0.57935	1.79965	0.191124707	0.0	1.68631907	2.054273689	0.300173348	2.703827338	0.780669879	0.0	2.683993173	1.897804185	1.557418095	1.855823349	2.539759649	2.184429879	2.119636472	2.521981268	1.290355195	2.551728095	1.128216758	1.699777499	2.539071631	1.704255735	0.97955	0.0	1.721728095	0.86726	0.0	0.0	0.0	1.650919879	1.874656472	0.0	1.130836266	0.911478095	0.0	1.106824234	1.51383314	2.354673971	0.0	1.39129	1.69480907	1.64093
IGFBP-7	11.99301317	11.22175843	11.33349723	11.27910869	10.65981067	10.83050648	11.18808335	10.83090059	11.46080471	11.86086397	11.55570144	11.42429838	12.74848317	11.46491965	10.76758168	12.18768574	12.00860127	11.75087317	11.16992525	11.4603892	11.08065032	11.15640471	12.33284635	16.17183619	11.97125317	11.59655457	11.71505885	12.93832119	11.83660317	12.01211127	11.38253869	11.73954282	11.87228627	11.81050173	11.805237	11.17736127	11.43939	11.63982	11.07445471	11.56886877	11.67762907	12.20323369	11.59253335	12.31632734	12.02477988	11.68697877	11.40109317	11.52455419	11.64700809	11.35706335	11.27875965	11.84169988	11.83070647	13.28286127	11.89752519	11.41643809	11.56390676	11.6748075	11.96727163	12.50826574	11.22569	10.41875619	11.32411809	11.04848	11.22216648	11.25863618	11.11547	11.99342988	12.25743647	11.71146907	12.10862627	11.58254809	11.04233	11.05862423	11.85606314	12.45933397	11.93634282	11.01682	11.53127907	11.3217
CD93	9.275183173	9.134208426	5.759327227	8.516028688	8.986870672	10.28955648	10.18501335	9.479500593	9.867714707	8.783853971	10.60525144	9.988368377	11.15256317	9.393889649	10.28737168	9.852415735	7.969311268	11.29361317	9.609555254	8.946569203	9.881890323	8.883614707	8.237076346	13.28460619	9.634393173	8.361524571	10.47805885	10.40486119	7.578693173	8.671301268	9.057048688	9.910652824	7.614226266	10.55209173	9.165996999	10.08467127	7.35182	10.12269	9.168264707	7.899448767	9.87731907	10.13292369	8.652563348	10.34412734	9.596589879	8.188138767	9.868543173	10.38020419	10.17107809	10.73513335	9.948089649	10.65266988	9.988156472	10.37176127	9.862875195	8.686818095	10.03421676	10.9746275	9.632061631	10.51272574	8.77422	9.200456187	10.03590809	7.4616	9.221366476	8.957926176	8.55252	9.437349879	8.389416472	7.68169907	9.162596266	9.703138095	7.24559	10.80586423	9.86229314	9.860923971	9.116992824	8.36228	9.36556907	8.64659
IL-18BP	2.612633173	3.751898426	0.136157227	2.610258688	7.025020672	4.939176476	3.198853348	3.369950593	3.854404707	2.413333971	5.816191435	3.349868377	4.889543173	3.449149649	4.187141684	3.266215735	2.472861268	5.980623173	2.860765254	3.931719203	4.092310323	3.153234707	2.625866346	5.54732619	2.944443173	2.097484571	3.827938852	2.989061188	1.086543173	2.048131268	1.097718688	2.328182824	1.091996266	4.198831733	4.101506999	3.131351268	1.12247	3.58161	2.235004707	1.564378767	2.51050907	4.015093689	1.665723348	3.672107338	1.735759879	0.806568767	3.894203173	3.774974185	4.268148095	3.714233349	3.456509649	5.715419879	3.070236472	4.098741268	3.309065195	1.807828095	2.912906758	5.010137499	3.052181631	3.521925735	2.68321	4.118686187	3.790648095	1.01884	4.890046476	4.647066176	2.21898	3.119919879	2.075066472	1.67421907	3.466516266	3.579968095	4.67632	4.421394234	2.36570314	3.767603971	2.335862824	2.0029	2.43209907	1.55688
COL1A1	3.997653173	3.339648426	1.898567227	3.828638688	3.762220672	4.854876476	4.929723348	3.307770593	4.831824707	3.854293971	4.960591435	5.254668377	5.984393173	4.521109649	4.531931684	5.362615735	4.242541268	4.860003173	4.293495254	3.966199203	4.355820323	4.737964707	5.352996346	8.65550619	4.906513173	3.168014571	5.203388852	4.950031188	3.834373173	4.656271268	4.393898688	4.328562824	3.735496266	5.351261733	4.190136999	4.647021268	3.61101	5.14784	4.422464707	4.084828767	4.32825907	5.920523689	3.984913348	5.742137338	4.672209879	3.445988767	5.095473173	5.026944185	4.562268095	4.741983349	5.112519649	5.907359879	5.625026472	6.121791268	4.984985195	4.242018095	4.936676758	5.350837499	4.228311631	5.217165735	4.34412	5.138676187	4.128808095	2.59472	4.160806476	4.270456176	3.72296	4.645579879	3.954916472	3.09643907	4.764026266	4.317968095	2.41542	4.740624234	4.66592314	5.205213971	4.245612824	4.08114	4.44576907	3.76804
PON3	0.855293173	-0.063111574	0.540427227	0.247088688	0.255710672	0.285496476	0.480953348	-0.171529407	0.593924707	0.644353971	0.967421435	0.954068377	1.997263173	0.868109649	-0.277628316	1.298005735	1.382181268	1.247433173	0.641825254	0.754869203	0.178210323	0.380354707	1.526356346	4.64653619	0.653373173	0.574584571	1.512158852	1.886651188	0.749083173	1.150691268	0.221708688	0.607552824	0.928126266	1.043941733	0.965276999	0.075081268	0.18534	0.59114	0.287664707	0.509478767	1.09321907	1.773383689	0.295343348	1.833547338	0.950419879	0.266968767	1.123483173	0.765524185	1.032138095	1.227453349	0.663939649	1.613799879	1.313636472	2.353891268	1.538175195	0.703438095	0.463726758	1.266467499	0.970091631	1.417545735	0.71974	0.601836187	0.567248095	0.20092	0.091576476	0.191406176	0.08905	1.209459879	1.401936472	0.63709907	1.281566266	0.618668095	0.38821	0.514514234	1.05190314	1.675293971	0.653122824	0.4133	0.81587907	0.46988
CTSZ	5.840033173	5.447438426	4.041627227	5.322818688	5.921890672	6.026986476	5.842593348	5.334780593	6.232664707	4.664393971	5.959461435	7.064528377	7.699883173	5.826099649	5.806451684	6.654395735	6.740211268	7.131703173	6.168125254	5.926209203	6.182590323	5.903334707	6.023716346	10.14107619	6.354253173	5.596064571	7.107688852	7.158621188	5.049253173	5.443701268	5.027958688	6.357932824	5.318196266	6.784981733	6.105056999	5.629341268	4.67804	6.13667	5.716384707	6.199758767	5.94078907	7.433863689	5.005863348	6.760477338	5.360029879	4.626738767	6.117203173	6.240934185	6.117328095	6.386293349	6.265219649	6.941869879	6.497186472	7.491541268	6.603785195	5.637778095	5.852146758	6.362247499	6.240871631	6.979115735	5.9209	6.111276187	6.247848095	4.97226	5.871376476	5.541376176	4.92873	6.589959879	5.131966472	6.04822907	7.057206266	6.366728095	5.15653	6.205204234	6.29680314	7.112553971	5.499322824	6.43375	6.61975907	4.32863
MMP-3	5.447583173	3.105668426	3.456497227	6.396788688	3.223790672	3.660956476	5.544933348	1.410620593	5.337574707	4.028723971	6.868031435	4.927378377	8.014723173	4.786169649	1.507821684	5.729615735	5.913821268	4.150413173	2.135565254	3.714819203	4.255760323	1.103144707	5.069086346	7.73924619	2.254943173	6.127554571	5.451438852	6.941631188	1.425413173	6.658221268	0.987198688	5.761352824	1.320836266	8.525851733	4.733846999	2.271451268	1.77995	4.44362	0.811374707	5.085518767	4.62996907	6.156533689	0.357943348	6.426867338	2.189829879	1.648318767	5.400123173	6.221824185	6.591768095	6.517323349	7.248089649	6.196149879	6.267546472	6.057481268	5.499985195	1.790668095	2.350236758	6.930157499	4.098011631	6.728475735	4.86606	3.150536187	5.014378095	1.39305	3.248186476	3.633496176	1.96042	4.477849879	5.413466472	1.23942907	5.834536266	3.264908095	3.97238	2.642474234	5.82120314	6.716563971	1.055442824	1.99063	5.78255907	3.39872
RARRES2	10.83848317	10.21011843	8.971057227	9.879028688	9.828190672	10.70084648	10.25479335	9.011740593	10.29464471	9.900453971	10.32914144	11.44536838	11.82843317	11.51930965	9.651441684	11.12697574	10.45556127	10.58467317	10.51326525	9.906379203	9.672370323	9.533584707	11.87263635	14.77921619	11.15775317	9.645194571	11.21270885	10.66581119	10.73387317	10.95960127	9.970348688	10.51850282	11.29039627	11.25599173	9.461586999	9.827631268	10.85056	10.75431	10.23192471	11.00216877	10.36849907	11.47536369	9.627383348	12.04195734	10.48585988	10.02471877	10.92931317	10.86136419	10.49713809	10.84970335	11.63516965	11.63077988	11.72956647	11.66331127	11.06973519	10.83652809	10.10540676	10.7820475	10.29063163	10.74671574	10.45027	9.251246187	10.67256809	10.83686	8.719956476	9.412936176	8.92656	10.32081988	11.01980647	9.11427907	10.39816627	10.60346809	9.20921	10.60287423	10.57160314	12.02762397	9.676332824	10.51983	11.20600907	9.56852
PDGF subunit A	8.660593173	6.319828426	6.694367227	6.540118688	6.393460672	6.138956476	7.563813348	5.702610593	7.041154707	7.968733971	7.205481435	8.835628377	9.740163173	5.712349649	6.147901684	9.348115735	9.734101268	7.056633173	8.238105254	6.466859203	5.688450323	6.803804707	8.658286346	12.53684619	9.335293173	8.668834571	7.941698852	8.257271188	6.860333173	7.418851268	5.390608688	8.123462824	7.340486266	8.595761733	6.855776999	7.298251268	6.85563	7.81085	6.944054707	7.403508767	7.75843907	10.79628369	4.882423348	8.013887338	9.133249879	7.823388767	7.001083173	6.166914185	7.597058095	7.565123349	8.406789649	7.955479879	9.846866472	9.994401268	8.979945195	5.461128095	8.573026758	7.994547499	8.182891631	9.189905735	7.5741	8.206936187	7.139478095	5.6349	5.826576476	5.235346176	6.70433	8.163239879	8.634856472	8.94850907	8.451276266	7.448808095	6.40297	6.173674234	9.18326314	7.657193971	5.507112824	7.9904	7.69204907	6.03209
TNF-R1	4.140543173	3.629718426	1.840767227	3.643388688	4.386950672	5.544146476	4.392493348	4.527060593	4.144364707	3.485143971	5.754601435	5.070328377	6.651663173	4.614399649	4.977171684	4.649805735	2.911051268	6.679253173	5.379265254	3.842159203	4.938140323	4.391254707	3.706046346	7.74622619	3.774043173	3.285344571	4.928858852	4.420111188	1.921323173	3.179131268	2.768388688	4.160352824	2.751646266	5.647291733	4.123036999	5.056261268	2.73896	4.29518	4.007194707	2.526288767	4.49419907	5.042963689	3.184913348	5.554137338	2.946779879	2.538048767	5.477593173	5.091044185	5.644268095	4.800313349	5.324719649	5.411339879	5.648646472	5.214891268	3.965365195	3.714818095	4.706506758	5.382767499	4.226701631	4.822435735	3.28741	3.254176187	4.790628095	1.96873	3.814996476	3.351076176	3.348	3.936629879	3.877706472	2.52398907	3.527206266	4.656348095	2.96584	5.309764234	3.67716314	4.978383971	3.221472824	3.63632	4.51531907	3.25882
IGFBP-2	8.699983173	7.785318426	5.306467227	8.176878688	9.080600672	9.326726476	8.619013348	8.075980593	8.553594707	7.273083971	9.275861435	9.428958377	10.17977317	8.263049649	8.640611684	8.463225735	9.750101268	9.665933173	9.630015254	7.516639203	8.832930323	8.814274707	8.735096346	11.18664619	7.503843173	9.183774571	9.284318852	8.325841188	6.264693173	7.743201268	5.194958688	7.115942824	6.851696266	9.141741733	8.449946999	8.363131268	7.09815	8.4272	7.935904707	7.820788767	7.84914907	9.985533689	6.336053348	9.514317338	7.506659879	6.576558767	9.401393173	8.328914185	9.620168095	9.007113349	9.367819649	9.965149879	10.95493647	9.121161268	9.628095195	6.989548095	9.050476758	9.661197499	8.391841631	8.696405735	8.30699	6.863066187	8.792358095	5.58542	8.735216476	7.759026176	7.45205	7.753569879	7.687696472	6.55364907	8.378646266	8.552098095	9.17008	8.943354234	8.52112314	9.528243971	6.332682824	7.88106	9.18497907	7.23176
vWF	5.339743173	3.041708426	1.446047227	4.314908688	5.441280672	2.002106476	4.907653348	1.173020593	4.181654707	4.078483971	5.026701435	4.265198377	6.478553173	3.831039649	2.410471684	4.683615735	2.051701268	5.469523173	3.594435254	4.944009203	1.477150323	1.338264707	6.082806346	6.01735619	2.985353173	3.394114571	5.290328852	6.677991188	2.511113173	4.588031268	3.617448688	3.592752824	2.555616266	5.077041733	3.104906999	2.438321268	2.55121	5.75195	3.236314707	0.985428767	5.62584907	4.547293689	1.923263348	7.044387338	2.119619879	1.335338767	4.389823173	5.140534185	4.911498095	3.801433349	4.826329649	4.260769879	4.696706472	5.285341268	4.603595195	3.136448095	3.113956758	5.626297499	4.364721631	7.259645735	4.24366	3.054426187	5.033278095	1.41809	2.865036476	4.686676176	2.84304	4.286129879	3.591036472	0.94191907	4.750756266	3.703128095	2.23526	3.211554234	3.97473314	3.673723971	2.019012824	2.84649	3.73837907	3.42847
PECAM-1	5.781433173	5.443788426	2.151037227	5.547238688	5.915500672	4.192946476	5.398803348	3.730340593	5.981254707	5.839773971	6.211291435	4.555168377	6.728063173	5.671929649	4.570281684	6.359405735	2.945061268	5.836543173	4.613835254	6.074619203	3.324870323	3.778804707	4.208406346	8.88569619	5.456043173	4.523884571	5.053158852	7.093531188	4.802223173	5.165741268	5.622678688	5.747402824	3.920076266	5.546301733	4.347716999	5.099881268	4.76963	6.20595	3.180874707	3.061578767	6.34312907	5.819173689	4.620493348	8.187107338	5.217529879	3.848408767	6.145683173	5.794304185	5.915028095	5.437153349	6.160119649	4.941829879	5.274736472	6.921451268	4.407415195	5.036388095	5.984386758	5.961787499	6.782401631	6.577755735	4.5626	5.393266187	5.540578095	4.83408	3.784246476	3.915016176	3.03959	5.582139879	4.916466472	3.44650907	5.703956266	5.169528095	3.04062	5.273974234	5.82124314	5.222383971	3.703422824	4.92382	5.14611907	4.94159
